Province No,District,Approved Teacher Posts Primary,Approved Teacher Posts Lower Secondary,Approved Teacher Posts Secondary,Rahat Teacher Posts Primary,Rahat Teacher Posts Lower Secondary,Rahat Teacher Posts Secondary
1,Taplejung,937,201,118,202,87,58
1,Panchthar,1073,203,111,206,148,121
1,Ilam,1404,255,177,196,177,104
1,Jhapa,2327,425,386,149,204,85
1,Morang,2173,627,405,615,164,150
1,Sunsari,1192,442,293,521,119,106
1,Dhankuta,926,180,124,136,110,94
1,Terhathum,752,195,127,104,40,42
1,Sankhuwasabha,1050,169,137,131,90,64
1,Bhojpur,1102,211,154,162,82,75
1,Solukhumbu,773,130,103,119,74,61
1,Okhaldhunga,835,174,90,246,88,94
1,Khotang,1146,212,144,320,148,128
1,Udayapur,947,182,129,430,242,146
2,Saptari,1306,268,233,446,187,93
2,Siraha,1314,233,199,399,79,80
2,Dhanusha,1306,237,274,467,71,75
2,Mahottari,1058,221,207,407,70,65
2,Rautahat,1051,174,190,541,84,68
2,Bara,1159,251,174,516,80,69
2,Parsa,1122,203,151,390,115,79
2,Sarlahi,1221,287,174,439,110,89
3,Sindhuli,948,155,145,684,171,122
3,Ramechhap,926,158,117,336,187,108
3,Dolakha,993,146,131,236,152,113
3,Sindhupalchok,1251,151,141,454,268,201
3,Kavrepalanchok,1726,278,292,388,298,162
3,Lalitpur,1009,301,256,142,88,74
3,Bhaktapur,872,205,177,59,68,30
3,Kathmandu,2058,795,725,170,241,205
3,Nuwakot,1185,205,169,311,151,99
3,Rasuwa,356,53,38,24,20,20
3,Dhading,1281,207,154,529,196,124
3,Makwanpur,1407,185,146,482,280,145
3,Chitwan,1693,405,309,211,141,82
4,Gorkha,1558,276,238,232,130,94
4,Lamjung,1303,257,192,85,85,81
4,Tanahu,1946,393,326,88,114,85
4,Syangja,1859,430,310,138,137,125
4,Kaski,1629,383,376,100,131,107
4,Manang,132,39,21,7,1,1
4,Mustang,232,52,42,12,1,1
4,Myagdi,699,175,115,136,71,50
4,Parbat,1183,269,229,133,92,75
4,Baglung,1401,267,211,324,168,157
4,Nawalparasi_East,,0,0,0,0,0
5,Gulmi,1472,282,257,312,173,142
5,Palpa,1597,322,246,213,171,161
5,Nawalparasi_ West,1502,310,228,499,239,169
5,Rupandehi,1525,291,271,423,224,167
5,Kapilbastu,996,159,140,429,102,96
5,Arghakhanchi,1155,193,181,232,137,87
5,Pyuthan,849,124,118,264,106,50
5,Rolpa,842,141,63,167,68,53
5,Rukum_East,0,0,0,0,0,0
5,Dang,1240,278,222,455,134,56
5,Banke,827,183,152,460,102,54
5,Bardiya,862,184,154,490,164,86
6,Rukum_ West,775,130,98,290,149,78
6,Salyan,884,103,91,356,100,62
6,Surkhet,1197,245,156,424,157,108
6,Dailekh,878,108,91,414,201,126
6,Jajarkot,621,107,53,317,115,62
6,Dolpa,385,55,36,18,18,14
6,Jumla,440,80,60,70,53,56
6,Kalikot,453,86,65,229,56,50
6,Mugu,336,64,45,23,12,11
6,Humla,319,75,24,42,17,17
7,Bajura,541,133,72,163,46,41
7,Bajhang,826,124,115,417,169,121
7,Achham,835,157,81,457,142,149
7,Kailali,1063,209,144,829,368,225
7,KanchaMCur,869,206,142,360,198,147
7,Doti,724,146,91,346,120,91
7,Dadeldhura,598,157,92,220,69,71
7,Baitadi,943,185,169,393,147,114
7,Darchula,801,122,101,154,95,48
All,Total,80176,16224,12718,21889,9612,6919
